KNeighborsClassifier,tf-idf,1,3000,5,5,euclidean,139.0,73.93617021276596,49.0,26.06382978723404
KNeighborsClassifier,tf-idf,1,3000,5,5,cosine,137.99999999999997,73.40425531914893,50.00000000000003,26.59574468085107
KNeighborsClassifier,tf-idf,1,5000,5,5,euclidean,137.99999999999997,73.40425531914893,50.00000000000003,26.59574468085107
KNeighborsClassifier,tf-idf,1,5000,5,5,cosine,150.0,79.7872340425532,38.0,20.212765957446805
KNeighborsClassifier,tf-idf,1,10000,5,5,euclidean,157.00000000000003,83.51063829787235,30.99999999999997,16.489361702127653
KNeighborsClassifier,tf-idf,1,10000,5,5,cosine,150.0,79.7872340425532,38.0,20.212765957446805
NearestNeighbors,tf-idf,1,3000,5,5,euclidean,137.99999999999997,73.40425531914893,50.00000000000003,26.59574468085107
NearestNeighbors,tf-idf,1,3000,5,5,cosine,150.0,79.7872340425532,38.0,20.212765957446805
NearestNeighbors,tf-idf,1,5000,5,5,euclidean,130.0,69.14893617021276,58.0,30.851063829787236
NearestNeighbors,tf-idf,1,5000,5,5,cosine,142.00000000000003,75.53191489361703,45.99999999999997,24.468085106382972
NearestNeighbors,tf-idf,1,10000,5,5,euclidean,137.99999999999997,73.40425531914893,50.00000000000003,26.59574468085107
NearestNeighbors,tf-idf,1,10000,5,5,cosine,148.0,78.72340425531915,40.0,21.276595744680847
KNeighborsClassifier,tf-idf,1,3000,5,5,euclidean,149.0,79.25531914893617,39.0,20.744680851063833
KNeighborsClassifier,tf-idf,1,3000,5,5,cosine,154.99999999999997,82.44680851063829,33.00000000000003,17.55319148936171
KNeighborsClassifier,tf-idf,1,5000,5,5,euclidean,151.0,80.31914893617021,37.0,19.68085106382979
KNeighborsClassifier,tf-idf,1,5000,5,5,cosine,154.99999999999997,82.44680851063829,33.00000000000003,17.55319148936171
KNeighborsClassifier,tf-idf,1,10000,5,5,euclidean,148.0,78.72340425531915,40.0,21.276595744680847
KNeighborsClassifier,tf-idf,1,10000,5,5,cosine,139.99999999999997,74.46808510638297,48.00000000000003,25.531914893617028
NearestNeighbors,tf-idf,1,3000,5,5,euclidean,139.99999999999997,74.46808510638297,48.00000000000003,25.531914893617028
NearestNeighbors,tf-idf,1,3000,5,5,cosine,147.0,78.19148936170212,41.0,21.808510638297875
NearestNeighbors,tf-idf,1,5000,5,5,euclidean,139.99999999999997,74.46808510638297,48.00000000000003,25.531914893617028
NearestNeighbors,tf-idf,1,5000,5,5,cosine,141.0,75.0,47.0,25.0
NearestNeighbors,tf-idf,1,10000,5,5,euclidean,136.0,72.34042553191489,52.0,27.65957446808511
NearestNeighbors,tf-idf,1,10000,5,5,cosine,147.0,78.19148936170212,41.0,21.808510638297875
KNeighborsClassifier,tf-idf,1,3000,5,5,euclidean,142.00000000000003,75.53191489361703,45.99999999999997,24.468085106382972
KNeighborsClassifier,tf-idf,1,3000,5,5,cosine,152.99999999999997,81.38297872340425,35.00000000000003,18.61702127659575
KNeighborsClassifier,tf-idf,1,5000,5,5,euclidean,146.0,77.65957446808511,42.0,22.34042553191489
KNeighborsClassifier,tf-idf,1,5000,5,5,cosine,147.0,78.19148936170212,41.0,21.808510638297875
KNeighborsClassifier,tf-idf,1,10000,5,5,euclidean,143.0,76.06382978723404,45.0,23.93617021276596
KNeighborsClassifier,tf-idf,1,10000,5,5,cosine,154.99999999999997,82.44680851063829,33.00000000000003,17.55319148936171
NearestNeighbors,tf-idf,1,3000,5,5,euclidean,135.0,71.80851063829788,53.0,28.191489361702125
NearestNeighbors,tf-idf,1,3000,5,5,cosine,146.0,77.65957446808511,42.0,22.34042553191489
NearestNeighbors,tf-idf,1,5000,5,5,euclidean,132.0,70.2127659574468,56.0,29.787234042553195
NearestNeighbors,tf-idf,1,5000,5,5,cosine,149.0,79.25531914893617,39.0,20.744680851063833
NearestNeighbors,tf-idf,1,10000,5,5,euclidean,133.0,70.74468085106383,55.0,29.255319148936167
NearestNeighbors,tf-idf,1,10000,5,5,cosine,149.0,79.25531914893617,39.0,20.744680851063833
KNeighborsClassifier,tf-idf,1,3000,5,6,euclidean,139.0,73.93617021276596,49.0,26.06382978723404
KNeighborsClassifier,tf-idf,1,3000,5,6,cosine,152.0,80.85106382978724,36.0,19.148936170212764
KNeighborsClassifier,tf-idf,1,5000,5,6,euclidean,146.0,77.65957446808511,42.0,22.34042553191489
KNeighborsClassifier,tf-idf,1,5000,5,6,cosine,147.0,78.19148936170212,41.0,21.808510638297875
KNeighborsClassifier,tf-idf,1,10000,5,6,euclidean,137.99999999999997,73.40425531914893,50.00000000000003,26.59574468085107
KNeighborsClassifier,tf-idf,1,10000,5,6,cosine,156.0,82.97872340425532,32.0,17.02127659574468
NearestNeighbors,tf-idf,1,3000,5,6,euclidean,124.99999999999999,66.48936170212765,63.000000000000014,33.51063829787235
NearestNeighbors,tf-idf,1,3000,5,6,cosine,141.0,75.0,47.0,25.0
NearestNeighbors,tf-idf,1,5000,5,6,euclidean,129.00000000000003,68.61702127659575,58.99999999999997,31.38297872340425
NearestNeighbors,tf-idf,1,5000,5,6,cosine,145.0,77.12765957446808,43.0,22.872340425531917
NearestNeighbors,tf-idf,1,10000,5,6,euclidean,134.0,71.27659574468085,54.0,28.723404255319153
NearestNeighbors,tf-idf,1,10000,5,6,cosine,137.0,72.87234042553192,51.0,27.127659574468083
KNeighborsClassifier,tf-idf,1,3000,5,6,euclidean,150.0,79.7872340425532,38.0,20.212765957446805
KNeighborsClassifier,tf-idf,1,3000,5,6,cosine,149.0,79.25531914893617,39.0,20.744680851063833
